S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
120,SIA/MH/INFRA2/557070/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/264830/2025","Application for Amendment/Expansion in EC & CRZ Clearance for Residential Cum Commercial Project “Bhakti Park” at plot bearing CTS. No. 1A/1, 1A/2, 1A/3, 1A/6 of Village Anik, Chembur (M-Ward), Wadala (E), Mumbai, Maharashtra by M/s Ajmera Realty & Infra India Limited.",MAHARASHTRA,AJMERA REALTY & INFRA INDIA LTD,Category: B1 Sector: INFRA-2 Date of Submission: 06/01/2026,SEIAA,Standard ToR Granted,Residential Cum Commercial Project
121,SIA/MH/MIN/565983/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/228194/2024","Amalgamation of Gumgaon and Khodegaon Manganese Mine (Amalgamated Lease Area - 212.736 ha) and Expansion in Manganese Ore production capacity from 3,05,200 TPA to 6,05,200 TPA",MAHARASHTRA,MOIL LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 19/01/2026,SEIAA,Pending at MS SEIAA,"Amalgamation of Gumgaon and Khodegaon Manganese Mine (Amalgamated Lease Area - 212.736 ha) and Expansion in Manganese Ore production capacity from 3,05,200 TPA to 6,05,200 TPA at Village: Gumgaon, Khodegaon, Tegai, Khapa, Khapapeth & Rajna, Tehsil: Saoner, District: Nagpur, Maharashtra"
122,SIA/MH/IND2/563160/2026,Clearance Type: Application for Corrigendum Form-13 S/W No.: SW/224986/2024,Setting up 70KLPD Malt Distillery and Malt Spirit Maturation plant along with 6MW Cogeneration Power Plant,MAHARASHTRA,PERNOD RICARD INDIA PRIVATE LIMITED,Category: B1 Sector: Industrial Projects - 2 Date of Submission: 15/01/2026,SEIAA,Pending at MS SEIAA,"M/s. Pernod Ricard India Private Limited (PRIPL) is Setting up 70KLPD Malt Distillery and Malt Spirit Maturation plant along with 6MW Cogeneration power plant at plot no E1, Add. Butibori Industrial area, Maharashtra Industrial Development Corporation (MIDC), Tal. Nagpur(R), Dist. Nagpur Maharashtra."
123,SIA/MH/MIN/567338/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/273893/2026,"Transfer of Environmental Clearance of Chinchtakli Sand Ghat, Parbhani from Vandana Maske to Durgesh Shantaram Patil",MAHARASHTRA,durgesh shantaram patil,Category: B2 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Referred to SEIAA,"Application for Transfer of EC for Chinchtakli Sand Ghat located at Gut No. 40 to 43, 50 to 52, 45, 46, 49, Village - Chinchtakli, Taluka - Gangakhed, District - Parbhani from Vandana Maske to Durgesh Shantaram Patil"
124,SIA/MH/INFRA2/564046/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271034/2026","The Proposed redevelopment of ""Oshiwara Royal Sand CHS"" On plot bearing CTS No.1(pt), 31(pt), 33,34(pt), 35(pt), 36(pt) and 39(pt), of Village - Oshiwara, Oshiwara MHADA layout, Andheri(w), Mumbai.",MAHARASHTRA,lotus developers,Category: B2 Sector: INFRA-2 Date of Submission: 02/01/2026,SEIAA,Referred to SEIAA,This is the residential and Commercial construction project.
125,SIA/MH/MIN/563658/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270701/2025","Chitegaon (Stone & Murrum) Quarry Project having Mine Lease Area: 4.10 Ha., located at Survey/Gut No.: 182, 183 & 184 (Part), Village: Chitegaon, Taluka: Chhatrapati Sambhajinagar, District: Chhatrapati Sambhajinagar, Maharashtra by Sau. Jaishree Jagannath Phulare",MAHARASHTRA,Jayshree jagannath phulare,Category: B2 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,ADS Raised,"It is a Chitegaon (Stone & Murrum) Quarry Project having Mine Lease Area: 4.10 Ha., located at Survey/Gut No.: 182, 183 & 184 (Part), Village: Chitegaon, Taluka: Chhatrapati Sambhajinagar, District: Chhatrapati Sambhajinagar, Maharashtra. Minor mineral namely Stone (Basalt) & Murrum will be mined out from the site. Semi-mechanized opencast mining methodology using drilling and blasting with Excavator – Dumper combinations is proposed for this project. Proposed production of Stone & Murrum is 242"
126,SIA/MH/INFRA2/567862/2026,Clearance Type: Application for Corrigendum Form-13 S/W No.: SW/178399/2024,M/s. Karad Hospital Association (CBMWT&DF),MAHARASHTRA,KARAD HOSPITAL ASSOCIATION KARAD,Category: B1 Sector: INFRA-2 Date of Submission: 04/02/2026,SEIAA,Under Verification,"M/s Karad Hospital Association is a proposed expansion for Common Bio medical waste treatment and disposal facility of 3717.47 m2 area located at 12 Dabri, Near Nagarpalika CSTP, Shaniwar Peth, Karad Taluka, Satara District, Maharashtra -415110. The proposed expansion project is for Common Bio-medical waste treatment and disposal facility. Ministry of Environment, and falls under Category B, Schedule 7 (da) as per EIA Notification dated 14th September 2006 and subsequent amendments dated 17th Ap"
127,IA/MH/IND2/564901/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/141056/2023","Expansion of Sugar Factory from 5,000 to 12,000 TCD, Co-generation Plant from 25 to 60 MW and Molasses based Distillery from 60 to 200 KLPD by using C/B Heavy Molasses/ Sugarcane Syrup",MAHARASHTRA,BABANRAOJI SHINDE SUGAR & ALLIED INDUSTRIES LIMITED,Category: A Sector: Industrial Projects - 2 Date of Submission: 09/01/2026,MOEFCC,SUBMITTED,"Expansion of Sugar Factory from 5,000 to 12,000 TCD, Co-generation Plant from 25 to 60 MW and Molasses based Distillery from 60 to 200 KLPD by using C/B Heavy Molasses /Sugarcane Syrup by Babanaraoji Shinde Sugar & Allied Industries Ltd. at Turkpimpari, Tal.: Barshi, Dist.: Solapur, MS."
128,SIA/MH/MIN/565700/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/272430/2026,"Transfer of Environmental Clearance Devhada Kh. Sand Ghat over an extent of 1.41 ha. At Wainganga RiverBed Adjoining Gut No. 31, 32, 25, 24, 310, Village Devhada Kh. Tehsil Mohadi, District Bhandara,Maharashtra, by M/s. Anoj kumar Agarwala",MAHARASHTRA,M/S ANOJ KUMAR AGARWALA,Category: B2 Sector: Non-Coal Mining Date of Submission: 15/01/2026,SEIAA,EC Granted,"Transfer of Environmental Clearance Devhada Kh. Sand Ghat over an extent of 1.41 ha. At Wainganga RiverBed Adjoining Gut No. 31, 32, 25, 24, 310, Village Devhada Kh. Tehsil Mohadi, District Bhandara,Maharashtra, by M/s. Anoj kumar Agarwala"
129,SIA/MH/MIN/563840/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/270854/2026,"Expansion of Pimpalgaon Sarangi Sand Ghat, Parbhani",MAHARASHTRA,District Mining Officer,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/01/2026,SEIAA,EC Granted,"Application for Expansion in Environmental Clearance of Pimpalgaon Sarangi Sand Ghat, located at gat no. 20, 21, 22, 117, 112, 111, 110, 108, 102, 101, 97, Village - Pimpalgaon Sarangi, Tal. Purna, Dist. Parbhani"
130,SIA/MH/MIN/566727/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273342/2026,Environmental clearance for proposed river bed sand mining having leases area 1.05 Ha. Pendhari sand ghat on Bandia river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.05 Ha. Pendhari sand ghat on Bandia river.
131,SIA/MH/INFRA2/564313/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271257/2026","C/o World-Class Laboratory, Indian Institute of Packaging, Government of India, Ministry of Commerce and Industry",MAHARASHTRA,Indian Institute of packaging,Category: B2 Sector: INFRA-2 Date of Submission: 08/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,"To conduct the testing & evaluation of various packaging materials such as Nano Packaging, Active Packaging, Anti Microbiological Packaging, Intelligent & Smart Packaging solutions etc. Further, the WCPL will also help reduce the turnaround time for testing, to have precision control and would bring efficiency and make the Indian Packaging Industry more competitive. The setup of the WCPL was became necessity to establish and perform the test at par with the International market which will help e"
132,SIA/MH/MIN/563934/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/270947/2026,"Transfer of EC of Nandra (Rith)-2 Sand Ghat, Vana river , Vill. Nandra (Rith),Tq. Hinganghat Dist. Wardha, Nearest Gut No. 72, 71, 70, 69, 68, 65,Area-1.40 Ha, Qty-3958 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/01/2026,SEIAA,EC Granted,"Transfer of EC of Nandra (Rith)-2 Sand Ghat, Vana river , Vill. Nandra (Rith),Tq. Hinganghat Dist. Wardha, Nearest Gut No. 72, 71, 70, 69, 68, 65,Area-1.40 Ha, Qty-3958 Brass in the name of M/s Chourasia Construction Company, Partner – Mr. Sandeep Suryakant Chourasia"
133,SIA/MH/INFRA2/565249/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272053/2026","Residential cum Commercial development at village Balkum, Dhokali and Kolshet of Thane (W) by M/s Lodha Developers Limited",MAHARASHTRA,LODHA DEVELOPERS LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,Residential and Commercial development
134,SIA/MH/MIN/564215/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271207/2026,"Transfer of Environmental Clearance of Masla Sand Ghat, Parbhani from Vandana Maske to Abrar Niyaz Khan Pathan",MAHARASHTRA,Abrar niyaz khan pathan,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/01/2026,SEIAA,EC Granted,"Application for Transfer of EC for Masla Sand Ghat located at Gut No. 51, 52, 56, 57, 64, Village - Masla, Taluka - Gangakhed, District - Parbhani from Vandana Maske to Abrar Niyaz Khan Pathan"
135,SIA/MH/MIN/564546/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271490/2026,"Transfer of Environment Clearance for Itgaon Sand Ghat over an extent of 4.55 ha at Wainganga River Bed Adjoining Gut No. 13, 14, 19, 20, 23, 691, 27, Village Itgaon, Tehsil Pauni, District Bandara, Maharashtra to M/s R Sandesh Infravision Pvt Ltd.",MAHARASHTRA,ruchir kumar agrawal,Category: B2 Sector: Non-Coal Mining Date of Submission: 08/01/2026,SEIAA,EC Granted,This is a river bed mining project
136,SIA/MH/MIN/566784/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/273391/2026,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Rajgata Mal sand ghat on Kathani river.,MAHARASHTRA,"DISTRICT MINING OFFICER, GADCHIROLI",Category: B2 Sector: Non-Coal Mining Date of Submission: 25/01/2026,SEIAA,Referred to SEIAA,Environmental clearance for proposed river bed sand mining having leases area 1.0 Ha. Rajgata Mal sand ghat on Kathani river.
137,SIA/MH/INFRA2/565517/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272274/2026","Expansion in Environmental Clearance for Proposed residential project located at S. No. 25/2/1, 25/2/2, 25/2/3, 25/2/4, 25/4/1/2/1, 25/4A/2, 25/4A/3, 25/4A/4, 25/4A/5, 25/4A/6, 26/1, 26/2, 27/1, 27/2, 27/4, 32/1, 32/2, 32/3 Plot 1+2. At Lohegaon, Tal. Haveli, Pune by M/s. Bebanco Developers Limited through Director Mr. Digant L Kapadia.",MAHARASHTRA,BEBANCO DEVELOPERS LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 14/01/2026,SEIAA,Standard ToR Granted,This is an expansion in a residential project
138,SIA/MH/MIN/564420/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271392/2026,"Transfer of Environmental Clearance of Suki Sand Ghat, Parbhani from Vandana Maske to Hambarde Krishna Baburao",MAHARASHTRA,hambarde krishna baburao,Category: B2 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,EC Granted,"Application for Transfer of EC for Suki Sand Ghat located at Gut No. 155, 156, 192 to 197, Village - Suki, Taluka - Purna, District - Parbhani from Vandana Maske to Hambarde Krishna Baburao"
139,SIA/MH/MIN/567856/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274436/2026,"Transfer of EC of Babulgaon Bobde Sand Ghat Tq. Deoli Dist. Wardha, Nearest Gut no 170,1,2,4,5 +Gaothan, Area-1.05 Ha, Qty-2597 Brass by M/s CHOURASIA CONSTRUCTION CO.",MAHARASHTRA,CHOURASIA CoNSTRUCTION CO,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Pending at MS SEIAA,"Transfer of EC of Babulgaon Bobde Sand Ghat Tq. Deoli Dist. Wardha, Nearest Gut no 170,1,2,4,5 +Gaothan, Area-1.05 Ha, Qty-2597 Brass by M/s CHOURASIA CONSTRUCTION CO."
140,SIA/MH/MIN/567548/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274101/2026,"Transfer of Environmental Clearance of Mudhapur Sandghat, Gut No. 14 Part, 15,16 Part, Village – Mudhapur, Tal.- Ralegaon, Dist. Yavatmal from DMO, Yavatmal to M/s R.B. Traders (PP – Shri. Ravindra Vasantrao Bhanarkar)",MAHARASHTRA,RAVINDRA VASANTRAO BHANARKAR,Category: B2 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,Referred to SEIAA,"Application for Transfer of Environmental Clearance of Mudhapur Sandghat, Gut No. 14 Part,15,16 Part, Village – Mudhapur, Tal.- Ralegaon, Dist. Yavatmal from DMO, Yavatmal to M/s R.B. Traders (PP – Shri. Ravindra Vasantrao Bhanarkar)"
141,SIA/MH/MIN/567923/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/274500/2026,"Transfer of EC of Dighdi Khu. Sand Ghat, Painganga river , Vill. Dighdi Khu. Tq. Mahur Dist. Nanded, Nearest Gut No. 8,58/A, Area-1.25 Ha, Qty-1104 Brass in the name of Mr. Shubham Shankar Gaikwad",MAHARASHTRA,SHUBHAM SHANKAR GAIKWAD,Category: B2 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Pending at MS SEIAA,"Transfer of EC of Dighdi Khu. Sand Ghat, Painganga river , Vill. Dighdi Khu. Tq. Mahur Dist. Nanded, Nearest Gut No. 8,58/A, Area-1.25 Ha, Qty-1104 Brass in the name of Mr. Shubham Shankar Gaikwad"
142,SIA/MH/MIN/564938/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/271817/2026,"Transfer of EC of Gavrala 1 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 65/1, 65/2, 50, Village Gavrala, Tehsil Lakhandur, District Bhandara,Qty-27138 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal",MAHARASHTRA,A B CARRIERS DYNAMICS PRIVATE LIMITED,Category: B2 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EC Granted,"Transfer of EC of Gavrala 1 Sand Ghat over an extent of 4.8 ha. at Wainganga River Bed Adjoining Gut No. 65/1, 65/2, 50, Village Gavrala, Tehsil Lakhandur, District Bhandara,Qty-27138 Brass, in name of M/s A B Carriers Dynamics Private Limited , Director Mr. Sachin V. Agrawal"
143,SIA/MH/INFRA2/562390/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269469/2025","Environmental clearance for Proposed Residential cum Commercial Buildings on land BEARING CTS No.1552, 1622 to 1624, 1641, 1642, 1701 to 1710, 1774 to 1781, 1813 to 1821, 1862 to 1868, 1917 to 1920, 2011, 2013, 2240, & 4738, at Village Mira, Tal, & Dist. Thane by M/s. Steel Star Corporation",MAHARASHTRA,STEEL STAR CORPORATION,Category: B2 Sector: INFRA-2 Date of Submission: 08/01/2026,SEIAA,Under Verification,The project is a greenfield project with resi cum commercial components
144,IA/MH/IND3/557634/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/265263/2025,"Expansion of Liquid formulations from 600 TPA to 1080 TPA, Powder formulations from 600 TPA to 700 TPA, Cation Exchange Resins from 300 TPA to 3000 TPA, Biocide from 24 TPA to 360 TPA, Dispersants from 24 TPA to 360 TPA, Flocculating Agents from 12 TPA to 240 TPA and newly added Oil field chemicals 1200 TPA (Manufacturing of Water & Waste Water treatment – Resins & Chemicals) at Gat No. 227/2, Alandi Markal Road, Village Dhanore, Tahsil Khed, District Pune, Maharashtra by M/s Asha Resins Limited",MAHARASHTRA,ASHA RESINS LIMITED,Category: A Sector: Industrial Projects - 3 Date of Submission: 20/01/2026,MOEFCC,Under Processing with Authority,"Request for transfer of EC from M/s. Asha Resins Private Limited to M/s. Asha Resins Limited as per the certificate of incorporation by the ROC, CPC vide SRN AB0013265 dated 18/09/2024."
